,DiffDock Confidence,SMINA Affinity,SMINA Intramolecular Energy,SMINA Minimized Affinity,SMINA Minimized RMSD
DiffDock Confidence,1.0,-0.09823254554337739,-0.5959755067798975,-0.2573995737613392,0.20832610339045612
SMINA Affinity,-0.09823254554337739,1.0,0.09378704013509209,0.6547038057665393,0.14190949435701328
SMINA Intramolecular Energy,-0.5959755067798975,0.09378704013509209,1.0,0.26339509363190217,-0.14245339779518482
SMINA Minimized Affinity,-0.2573995737613392,0.6547038057665393,0.26339509363190217,1.0,-0.38658091231006303
SMINA Minimized RMSD,0.20832610339045612,0.14190949435701328,-0.14245339779518482,-0.38658091231006303,1.0
